x1_m,x2_m,Vc_V,C_F,Q1_N,Q2_N,Qtranslation_N
-1.3708600000000001e-5,-1.3708600000000001e-5,3.0,7.093281640491455e-12,-3.7629147668140407e-7,-1.2955515971532485e-5,-1.3331807448213888e-5
-1.37084e-5,-1.37084e-5,3.0,7.092689490028351e-12,-3.761403992266432e-7,-1.2938739769962672e-5,-1.3314880169189314e-5
-1.37082e-5,-1.37082e-5,3.0,7.092098102398706e-12,-3.759895172910944e-7,-1.2921503305804931e-5,-1.3297492823096026e-5
-1.3708000000000002e-5,-1.3708000000000002e-5,3.0,7.091507496402574e-12,-3.7583883569510384e-7,-1.2903879127338811e-5,-1.3279717963033915e-5
-1.3707800000000001e-5,-1.3707800000000001e-5,3.0,7.090917687824978e-12,-3.7568835848566553e-7,-1.2885930396221955e-5,-1.3261618754707621e-5
-1.37076e-5,-1.37076e-5,3.0,7.09032868984335e-12,-3.7553808904101994e-7,-1.286771140937899e-5,-1.324324949842001e-5
-1.37074e-5,-1.37074e-5,3.0,7.089740513403125e-12,-3.7538803016705663e-7,-1.28492684627123e-5,-1.3224656492879356e-5
-1.3707200000000002e-5,-1.3707200000000002e-5,3.0,7.0891531675515905e-12,-3.7523818418298e-7,-1.2830640839097653e-5,-1.3205879023280632e-5
-1.3707000000000001e-5,-1.3707000000000001e-5,3.0,7.088566659727566e-12,-3.750885529956187e-7,-1.2811861790984147e-5,-1.3186950343979766e-5
-1.37068e-5,-1.37068e-5,3.0,7.087980996008922e-12,-3.7493913816291005e-7,-1.2792959449102266e-5,-1.3167898587265177e-5
-1.37066e-5,-1.37066e-5,3.0,7.0873961813219064e-12,-3.7478994094757637e-7,-1.2773957627581246e-5,-1.3148747568528823e-5
-1.3706400000000001e-5,-1.3706400000000001e-5,3.0,7.086812219617178e-12,-3.746409623622586e-7,-1.2754876518458121e-5,-1.312951748082038e-5
-1.3706200000000001e-5,-1.3706200000000001e-5,3.0,7.086229114017317e-12,-3.74492203207335e-7,-1.2735733280644266e-5,-1.3110225483851601e-5
-1.3706e-5,-1.3706e-5,3.0,7.085646866940362e-12,-3.7434366410258766e-7,-1.2716542534027196e-5,-1.3090886198129784e-5
-1.3705600000000001e-5,-1.3705600000000001e-5,3.0,7.084484955108324e-12,-3.7404724777453445e-7,-1.2678066699728522e-5,-1.3052113947503056e-5
-1.37052e-5,-1.37052e-5,3.0,7.083326492908782e-12,-3.737517156304151e-7,-1.2639529185823549e-5,-1.3013280901453964e-5
-1.3704800000000001e-5,-1.3704800000000001e-5,3.0,7.082171482969673e-12,-3.734570683436225e-7,-1.2600989572192176e-5,-1.2974446640535798e-5
-1.37044e-5,-1.37044e-5,3.0,7.081019923315089e-12,-3.731633054074428e-7,-1.2562492664755077e-5,-1.2935655970162521e-5
-1.3704000000000001e-5,-1.3704000000000001e-5,3.0,7.079871808488589e-12,-3.728704254229893e-7,-1.2524072529401085e-5,-1.2896942954824075e-5
-1.37036e-5,-1.37036e-5,3.0,7.078727130374953e-12,-3.725784263098364e-7,-1.2485755319096199e-5,-1.2858333745406035e-5
-1.3703200000000001e-5,-1.3703200000000001e-5,3.0,7.077585878809513e-12,-3.722873054622081e-7,-1.2447561279565134e-5,-1.2819848585027342e-5
-1.37028e-5,-1.37028e-5,3.0,7.0764480420357284e-12,-3.7199705986626935e-7,-1.240950619063382e-5,-1.2781503250500088e-5
-1.3702400000000001e-5,-1.3702400000000001e-5,3.0,7.075313607053185e-12,-3.7170768618932876e-7,-1.2371602415466829e-5,-1.2743310101656157e-5
-1.3702e-5,-1.3702e-5,3.0,7.0741825598852e-12,-3.7141918084843576e-7,-1.2333859674031567e-5,-1.2705278854880003e-5
-1.3701600000000001e-5,-1.3701600000000001e-5,3.0,7.073054885786951e-12,-3.7113154006373355e-7,-1.2296285620200617e-5,-1.2667417160264351e-5
-1.37012e-5,-1.37012e-5,3.0,7.07193056940887e-12,-3.708447599003406e-7,-1.2258886277309727e-5,-1.2629731037210068e-5
-1.3700800000000001e-5,-1.3700800000000001e-5,3.0,7.070809594926198e-12,-3.705588363015638e-7,-1.2221666370476337e-5,-1.2592225206777901e-5
-1.37004e-5,-1.37004e-5,3.0,7.069691946142496e-12,-3.7027376511543015e-7,-1.2184629582747632e-5,-1.2554903347863062e-5
