x1_m,linear_N,cubic_N,soft_N,hard_N
-1.3709400000000001e-5,4.496597516250001e-5,7.821971667366419e-7,1.485014127336222e-17,0.0
-1.37092e-5,4.4965319175000015e-5,7.821629339143876e-7,1.4819522640637496e-17,0.0
-1.3709e-5,4.496466318750001e-5,7.821287020909466e-7,1.478898812417373e-17,0.0
-1.3708800000000002e-5,4.4964007200000014e-5,7.820944712663044e-7,1.475853743531219e-17,0.0
-1.37088e-5,4.4964007200000014e-5,7.82094471266304e-7,1.4758537435311936e-17,0.0
-1.3708600000000001e-5,4.496335121250002e-5,7.820602414404459e-7,1.472817028658125e-17,0.0
-1.37084e-5,4.496269522500001e-5,7.820260126133568e-7,1.469788639169224e-17,0.0
-1.37082e-5,4.496203923750001e-5,7.819917847850226e-7,1.4667685465532755e-17,0.0
-1.3708000000000002e-5,4.496138325000002e-5,7.819575579554289e-7,1.463756722416151e-17,0.0
-1.3707800000000001e-5,4.4960727262500015e-5,7.819233321245607e-7,1.4607531384801716e-17,0.0
-1.37076e-5,4.496007127500001e-5,7.818891072924036e-7,1.4577577665837066e-17,0.0
-1.37074e-5,4.4959415287500014e-5,7.818548834589431e-7,1.454770578680514e-17,0.0
-1.3707200000000002e-5,4.495875930000002e-5,7.81820660624165e-7,1.45179154683924e-17,0.0
-1.3707000000000001e-5,4.495810331250001e-5,7.817864387880537e-7,1.4488206432427697e-17,0.0
-1.37068e-5,4.4957447325000016e-5,7.817522179505956e-7,1.4458578401878356e-17,0.0
-1.37066e-5,4.495679133750001e-5,7.817179981117756e-7,1.4429031100843708e-17,0.0
-1.3706400000000001e-5,4.4956135350000015e-5,7.816837792715797e-7,1.4399564254550198e-17,0.0
-1.3706200000000001e-5,4.495547936250002e-5,7.816495614299927e-7,1.4370177589345054e-17,0.0
-1.3706e-5,4.4954823375000014e-5,7.816153445870002e-7,1.434087083269241e-17,0.0
-1.3705600000000001e-5,4.495351140000002e-5,7.815469138967408e-7,1.4282495960449475e-17,0.0
-1.37052e-5,4.495219942500001e-5,7.814784872006848e-7,1.422443747965452e-17,0.0
-1.3704800000000001e-5,4.495088745000002e-5,7.814100644987158e-7,1.4166693249663678e-17,0.0
-1.37044e-5,4.4949575475000016e-5,7.813416457907167e-7,1.410926114718844e-17,0.0
-1.3704000000000001e-5,4.4948263500000015e-5,7.812732310765717e-7,1.4052139066133597e-17,0.0
-1.37036e-5,4.4946951525000014e-5,7.812048203561636e-7,1.3995324917433134e-17,0.0
-1.3703200000000001e-5,4.494563955000001e-5,7.811364136293763e-7,1.3938816628891737e-17,0.0
-1.37028e-5,4.494432757500001e-5,7.810680108960927e-7,1.3882612145024112e-17,0.0
-1.3702400000000001e-5,4.494301560000002e-5,7.809996121561969e-7,1.3826709426899916e-17,0.0
-1.3702e-5,4.494170362500001e-5,7.809312174095715e-7,1.3771106451986522e-17,0.0
-1.3701600000000001e-5,4.4940391650000015e-5,7.808628266561008e-7,1.3715801213997207e-17,0.0
-1.37012e-5,4.4939079675000014e-5,7.807944398956676e-7,1.3660791722737318e-17,0.0
-1.3700800000000001e-5,4.493776770000001e-5,7.807260571281557e-7,1.3606076003955669e-17,0.0
-1.37004e-5,4.493645572500001e-5,7.806576783534482e-7,1.3551652099193953e-17,0.0
-1.3700000000000001e-5,4.493514375000002e-5,7.805893035714288e-7,1.3497518065641324e-17,0.0
-1.36996e-5,4.493383177500001e-5,7.805209327819807e-7,1.3443671975986952e-17,0.0
-1.3699200000000001e-5,4.4932519800000016e-5,7.804525659849877e-7,1.3390111918277748e-17,0.0
-1.36988e-5,4.4931207825000015e-5,7.803842031803326e-7,1.3336835995773967e-17,0.0
-1.3698400000000001e-5,4.4929895850000013e-5,7.803158443678997e-7,1.3283842326809952e-17,0.0
-1.3698000000000002e-5,4.492858387500002e-5,7.802474895475718e-7,1.3231129044653045e-17,0.0
-1.36976e-5,4.492727190000001e-5,7.801791387192322e-7,1.3178694297366095e-17,0.0
-1.3697200000000002e-5,4.492595992500002e-5,7.80110791882765e-7,1.3126536247671566e-17,0.0
-1.36968e-5,4.4924647950000016e-5,7.800424490380527e-7,1.3074653072814732e-17,0.0
-1.3696400000000002e-5,4.4923335975000015e-5,7.799741101849797e-7,1.3023042964431719e-17,0.0
-1.3696e-5,4.4922024000000014e-5,7.799057753234288e-7,1.2971704128415372e-17,0.0
-1.3695600000000001e-5,4.492071202500002e-5,7.798374444532839e-7,1.2920634784785991e-17,0.0
-1.36952e-5,4.491940005000001e-5,7.797691175744276e-7,1.2869833167560084e-17,0.0
-1.3694800000000001e-5,4.491808807500002e-5,7.797007946867444e-7,1.2819297524623744e-17,0.0
-1.36944e-5,4.4916776100000016e-5,7.796324757901168e-7,1.2769026117604105e-17,0.0
