relative_displacement_m,Q1_N,Q2_N
-3.1039306472530124e-8,-5.61115098498721e-5,5.61115098498721e-5
-3.090376364950597e-8,-5.5866481422580075e-5,5.5866481422580075e-5
-3.076822082648182e-8,-5.562145299528806e-5,5.562145299528806e-5
-3.063267800345768e-8,-5.537642456799605e-5,5.537642456799605e-5
-3.049713518043353e-8,-5.5131396140704025e-5,5.5131396140704025e-5
-3.036159235740938e-8,-5.4886367713412e-5,5.4886367713412e-5
-3.022604953438523e-8,-5.464133928611999e-5,5.464133928611999e-5
-3.009050671136108e-8,-5.4396310858827976e-5,5.4396310858827976e-5
-2.995496388833693e-8,-5.415128243153595e-5,5.415128243153595e-5
-2.981942106531278e-8,-5.390625400424393e-5,5.390625400424393e-5
-2.9683878242288633e-8,-5.366122557695192e-5,5.366122557695192e-5
-2.9548335419264486e-8,-5.3416197149659904e-5,5.3416197149659904e-5
-2.9412792596240335e-8,-5.317116872236788e-5,5.317116872236788e-5
-2.9277249773216188e-8,-5.2926140295075864e-5,5.2926140295075864e-5
-2.9141706950192037e-8,-5.268111186778385e-5,5.268111186778385e-5
-2.900616412716789e-8,-5.243608344049183e-5,5.243608344049183e-5
-2.887062130414374e-8,-5.219105501319981e-5,5.219105501319981e-5
-2.8735078481119592e-8,-5.194602658590779e-5,5.194602658590779e-5
-2.859953565809544e-8,-5.1700998158615776e-5,5.1700998158615776e-5
-2.8463992835071294e-8,-5.145596973132376e-5,5.145596973132376e-5
-2.8328450012047143e-8,-5.1210941304031736e-5,5.1210941304031736e-5
-2.8192907189022996e-8,-5.0965912876739726e-5,5.0965912876739726e-5
-2.8057364365998845e-8,-5.07208844494477e-5,5.07208844494477e-5
-2.7921821542974697e-8,-5.047585602215569e-5,5.047585602215569e-5
-2.7786278719950547e-8,-5.0230827594863664e-5,5.0230827594863664e-5
-2.76507358969264e-8,-4.9985799167571654e-5,4.9985799167571654e-5
-2.751519307390225e-8,-4.974077074027963e-5,4.974077074027963e-5
-2.73796502508781e-8,-4.9495742312987615e-5,4.9495742312987615e-5
-2.724410742785395e-8,-4.92507138856956e-5,4.92507138856956e-5
-2.7108564604829803e-8,-4.900568545840358e-5,4.900568545840358e-5
-2.6973021781805653e-8,-4.876065703111156e-5,4.876065703111156e-5
-2.6837478958781505e-8,-4.851562860381954e-5,4.851562860381954e-5
-2.6701936135757355e-8,-4.8270600176527526e-5,4.8270600176527526e-5
-2.6566393312733207e-8,-4.802557174923551e-5,4.802557174923551e-5
-2.6430850489709056e-8,-4.7780543321943486e-5,4.7780543321943486e-5
-2.629530766668491e-8,-4.753551489465147e-5,4.753551489465147e-5
-2.615976484366076e-8,-4.7290486467359454e-5,4.7290486467359454e-5
-2.602422202063661e-8,-4.704545804006744e-5,4.704545804006744e-5
-2.588867919761246e-8,-4.6800429612775414e-5,4.6800429612775414e-5
-2.5753136374588313e-8,-4.65554011854834e-5,4.65554011854834e-5
-2.5617593551564162e-8,-4.631037275819138e-5,4.631037275819138e-5
-2.5482050728540015e-8,-4.6065344330899365e-5,4.6065344330899365e-5
-2.5346507905515864e-8,-4.582031590360734e-5,4.582031590360734e-5
-2.5210965082491717e-8,-4.557528747631533e-5,4.557528747631533e-5
-2.5075422259467566e-8,-4.533025904902331e-5,4.533025904902331e-5
-2.493987943644342e-8,-4.508523062173129e-5,4.508523062173129e-5
-2.4804336613419268e-8,-4.484020219443927e-5,4.484020219443927e-5
-2.466879379039512e-8,-4.459517376714726e-5,4.459517376714726e-5
-2.453325096737097e-8,-4.435014533985524e-5,4.435014533985524e-5
-2.4397708144346823e-8,-4.410511691256322e-5,4.410511691256322e-5
-2.4262165321322672e-8,-4.3860088485271204e-5,4.3860088485271204e-5
-2.4126622498298525e-8,-4.361506005797919e-5,4.361506005797919e-5
-2.3991079675274374e-8,-4.3370031630687164e-5,4.3370031630687164e-5
-2.3855536852250227e-8,-4.312500320339515e-5,4.312500320339515e-5
-2.3719994029226076e-8,-4.287997477610313e-5,4.287997477610313e-5
-2.358445120620193e-8,-4.2634946348811115e-5,4.2634946348811115e-5
-2.3448908383177778e-8,-4.238991792151909e-5,4.238991792151909e-5
-2.331336556015363e-8,-4.2144889494227076e-5,4.2144889494227076e-5
-2.317782273712948e-8,-4.189986106693506e-5,4.189986106693506e-5
-2.3042279914105332e-8,-4.165483263964304e-5,4.165483263964304e-5
-2.290673709108118e-8,-4.140980421235102e-5,4.140980421235102e-5
-2.2771194268057034e-8,-4.1164775785059e-5,4.1164775785059e-5
-2.2635651445032884e-8,-4.091974735776699e-5,4.091974735776699e-5
-2.2500108622008736e-8,-4.067471893047497e-5,4.067471893047497e-5
-2.2364565798984585e-8,-4.042969050318295e-5,4.042969050318295e-5
-2.2229022975960438e-8,-4.018466207589094e-5,4.018466207589094e-5
-2.2093480152936287e-8,-3.9939633648598915e-5,3.9939633648598915e-5
-2.195793732991214e-8,-3.96946052213069e-5,3.96946052213069e-5
-2.182239450688799e-8,-3.9449576794014875e-5,3.9449576794014875e-5
-2.1686851683863842e-8,-3.9204548366722865e-5,3.9204548366722865e-5
-2.155130886083969e-8,-3.895951993943084e-5,3.895951993943084e-5
-2.1415766037815544e-8,-3.8714491512138826e-5,3.8714491512138826e-5
-2.1280223214791393e-8,-3.846946308484681e-5,3.846946308484681e-5
